x,y,u_bulk,u_exact,label
2.1093750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.1875000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.2656250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.3437500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.4218750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.5000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.5781250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.6562500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.7343750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.8125000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.8906250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.9687500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.0468750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.1250000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.2031250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.2812500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.3593750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.4375000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.5156250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.5937500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.6718750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.7500000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.8281250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.9062500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.9843750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.0625000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.1406250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.2187500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.2968750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.3750000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.4531250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.5312500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.6093750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.6875000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.7656250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.8437500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.9218750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.0781250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.1562500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.2343750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.3125000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.3906250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.4687500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.5468750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.6250000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.7031250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.7812500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.8593750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
